Setting, cores, time
Improved openMP, 1, 526.981
Improved openMP, 2, 273.301
Improved openMP, 4, 135.395
Improved openMP, 8, 73.373
MPI only, 1, 521.964
MPI only, 2, 256.283
MPI only, 4, 127.163
MPI only, 6, 88.370
MPI only, 8, 68.178
MPI only, 9, 61.381
MPI only, 10, 56.090
MPI only, 12, 50.075
MPI only, 14, 44.981
MPI only, 23, 37.013
MPI only, 31, 34.978
MPI only, 39, 33.674
MPI only, 47, 35.605
MPI only, 55, 37.939
MPI only, 63, 41.674
MPI only, 71, 44.176
MPI only, 79, 48.415
MPI openMP, 8, 95.580
MPI openMP, 16, 49.881
MPI openMP, 24, 36.373
MPI openMP, 32, 29.335
MPI openMP, 40, 23.214
MPI openMP, 48, 20.475
MPI openMP, 56, 19.242
MPI openMP, 64, 17.112
MPI openMP, 72, 17.756
MPI openMP, 80, 15.627
MPI openMP, 88, 18.269
MPI openMP, 96, 14.430
MPI openMP, 104, 16.169
MPI openMP, 112, 15.798
MPI openMP, 120, 16.402
MPI openMP, 128, 17.819
